,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,E07,HEX,,Unkn-21,,,36.21,36.12,0.134,0.00000,-7.641,0.00000,0.00000,60.0,
,E08,HEX,,Unkn-21,,,36.03,36.12,0.134,0.00000,-7.596,0.00000,0.00000,60.0,
,E09,HEX,,Unkn-29,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,E10,HEX,,Unkn-29,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,E11,HEX,,Unkn-36,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,E12,HEX,,Unkn-36,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,F01,HEX,,Std-06,,,29.09,29.03,0.086,0.00000,-6.000,0.00000,0.00000,60.0,
,F02,HEX,,Std-06,,,28.97,29.03,0.086,0.00000,-6.000,0.00000,0.00000,60.0,
,F03,HEX,,Unkn-06,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,F04,HEX,,Unkn-06,,,38.98,38.98,0.000,0.00000,-8.306,0.00000,0.00000,60.0,
,F05,HEX,,Unkn-14,,,30.30,30.36,0.089,0.00000,-6.217,0.00000,0.00000,60.0,
,F06,HEX,,Unkn-14,,,30.42,30.36,0.089,0.00000,-6.248,0.00000,0.00000,60.0,
,F07,HEX,,Unkn-22,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,F08,HEX,,Unkn-22,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,F09,HEX,,Unkn-30,,,37.71,38.75,1.477,0.00000,-8.001,0.00000,0.00000,60.0,
,F10,HEX,,Unkn-30,,,39.80,38.75,1.477,0.00000,-8.503,0.00000,0.00000,60.0,
,F11,HEX,,Unkn-37,,,29.04,28.85,0.266,0.00000,-5.915,0.00000,0.00000,60.0,
,F12,HEX,,Unkn-37,,,28.66,28.85,0.266,0.00000,-5.825,0.00000,0.00000,60.0,
,G01,HEX,,Std-07,,,34.04,33.78,0.368,0.00000,-7.000,0.00000,0.00000,60.0,
,G02,HEX,,Std-07,,,33.51,33.78,0.368,0.00000,-7.000,0.00000,0.00000,60.0,
,G03,HEX,,Unkn-07,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,G04,HEX,,Unkn-07,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,G05,HEX,,Unkn-15,,,36.39,36.37,0.030,0.00000,-7.683,0.00000,0.00000,60.0,
,G06,HEX,,Unkn-15,,,36.34,36.37,0.030,0.00000,-7.672,0.00000,0.00000,60.0,
,G07,HEX,,Unkn-23,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,G08,HEX,,Unkn-23,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,G09,HEX,,Unkn-31,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,G10,HEX,,Unkn-31,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,H01,HEX,,Unkn-38,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,H02,HEX,,Unkn-38,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,H03,HEX,,Unkn-08,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,H04,HEX,,Unkn-08,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,H05,HEX,,Unkn-16,,,38.90,38.79,0.159,0.00000,-8.287,0.00000,0.00000,60.0,
,H06,HEX,,Unkn-16,,,38.67,38.79,0.159,0.00000,-8.233,0.00000,0.00000,60.0,
,H07,HEX,,Unkn-24,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,H08,HEX,,Unkn-24,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,H09,HEX,,Unkn-32,,,33.96,34.03,0.103,0.00000,-7.098,0.00000,0.00000,60.0,
,H10,HEX,,Unkn-32,,,34.10,34.03,0.103,0.00000,-7.133,0.00000,0.00000,60.0,
,H11,HEX,,Pos Ctrl,,,24.51,24.51,0.000,0.00001,-4.826,0.00001,0.00000,60.0,
,H12,HEX,,Pos Ctrl,,,23.41,23.41,0.000,0.00003,-4.561,0.00003,0.00000,60.0,
